user_id,login,name,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
10450905,fakel,Fares A. Akel C.,4,4,1,1.0,4084,0.3574926542605289,45,36,1.25,1,51,JavaScript,JavaScript,1,2,J,0.75,0.5,23,1104,False
891216,bajaloreto,Hugo Quintero,1,4,2,4.0,5369,0.06798286459303408,7,20,0.35,1,15,,,0,1,P,1.0,0.0,0,2256,False
39337536,siutau,Siu Tau Leon,3,6,0,2.0,2860,0.38286713286713286,7,10,0.7,2,13,"Dart, Java, TypeScript",Dart,3,3,I,1.0,0.6666666666666666,0,1232,False
41349009,bitmakerla,Bitmaker,8,219,24,27.375,2797,1.0439756882373972,27,0,27.0,4,294,"Python, TypeScript, HTML",Python,3,1,J,1.0,0.375,19,4,True
65962972,CarlosJhulyan,Jhulyan,6,11,2,1.8333333333333333,2119,1.033506370929684,7,5,1.4,2,22,"JavaScript, Pug, HTML",JavaScript,3,5,J,0.8333333333333334,0.16666666666666666,0,1365,False
24969384,pav-dev98,Pavel Mansilla Goyas,1,2,0,2.0,3354,0.10882528324388789,3,3,1.0,1,5,TypeScript,TypeScript,1,1,J,1.0,1.0,0,67,True
64096637,DavidMarioLC,DavidMarioLC,26,36,2,1.3846153846153846,2153,4.407803065490014,49,48,1.0208333333333333,3,89,"JavaScript, TypeScript, HTML",JavaScript,4,7,J,0.8846153846153846,0.0,0,19,True
65048311,Brother-Antony,Antony Elmer,22,35,0,1.5909090909090908,2136,3.7593632958801497,22,7,3.142857142857143,2,57,"HTML, JavaScript, CSS",HTML,6,5,J,0.6363636363636364,0.09090909090909091,1,19,True
163893381,Karen17Mendoza,Karen Mendoza,1,1,0,1.0,726,0.5027548209366391,17,7,2.4285714285714284,1,18,,,0,1,S,1.0,0.0,0,146,False
2582866,carlosthe19916,Carlos Feria,2,4,1,2.0,4896,0.14910130718954248,69,27,2.5555555555555554,1,75,TypeScript,TypeScript,1,1,J,1.0,0.5,1,379,False
42578792,rodp63,Joaquin Palma,10,30,6,3.0,2763,1.3210278682591385,21,5,4.2,3,63,"C++, Python, C",C++,5,3,J,1.0,1.0,5,678,False
